T_ID,senders_account,receivers_account,amount,date,time
304,1077,1064,66.43,08/09/2023,23:54:47
305,1018,1079,50.39,28/12/2023,00:41:20
306,1017,1027,74.23,10/05/2023,17:40:25
307,1075,1007,22.23,31/03/2023,14:09:10
308,1072,1033,79.44,10/05/2023,19:42:57
309,1079,1034,74.36,03/03/2023,03:59:41
310,1067,1001,63.07,02/09/2023,22:14:17
311,1032,1008,87.32,07/07/2023,12:22:28
312,1031,1057,61.32,14/06/2023,04:35:52
313,1047,1036,89.3,29/03/2023,01:14:22
314,1077,1087,19.97,13/11/2023,10:55:19
315,1081,1069,92.62,10/08/2023,05:01:39
316,1083,1024,73.64,02/10/2023,17:12:35
317,1004,1017,34.27,10/09/2023,05:51:47
318,1046,1010,44.93,19/03/2023,01:18:42
319,1026,1099,62.42,18/11/2023,11:15:14
320,1016,1043,65.25,22/11/2023,19:59:15
321,1069,1075,62.59,03/12/2023,03:59:57
322,1006,1045,79.3,03/01/2024,04:38:03
323,1062,1014,39.53,09/10/2023,11:26:57
324,1028,1031,50.84,16/09/2023,01:40:52
325,1086,1036,41.49,01/09/2023,19:08:27
326,1089,1052,24.88,19/11/2023,02:42:24
327,1086,1079,17.41,29/08/2023,11:49:01
328,1092,1059,68.13,26/10/2023,20:21:33
329,1036,1041,91.02,01/07/2023,21:35:41
330,1033,1077,43.23,12/04/2023,10:35:37
331,1059,1036,26.31,20/04/2023,13:52:20
332,1083,1022,20.54,21/04/2023,20:53:17
333,1084,1022,14.72,19/11/2023,08:49:08
334,1055,1046,59.31,07/12/2023,17:53:29
335,1085,1028,53.45,11/03/2023,21:50:10
336,1061,1012,78.26,28/04/2023,09:37:14
337,1020,1065,15.46,03/06/2023,09:40:14
338,1058,1062,64.94,19/03/2023,12:21:55
339,1034,1073,45.14,13/06/2023,13:30:49
340,1037,1082,95.02,28/09/2023,11:42:46
341,1035,1031,75.14,15/03/2023,11:33:56
342,1036,1079,68.58,04/08/2023,00:07:05
343,1042,1032,59.44,26/01/2024,04:58:55
344,1088,1076,25.49,17/11/2023,20:10:39
345,1062,1067,29.71,27/05/2023,00:08:28
346,1031,1098,74.02,07/12/2023,13:48:13
347,1077,1070,68.75,20/06/2023,22:50:24
348,1089,1093,11.35,10/04/2023,02:53:06
349,1025,1095,37.95,14/05/2023,12:30:32
350,1094,1044,44.6,21/08/2023,21:08:34
351,1100,1057,28.84,22/04/2023,14:39:33
352,1047,1068,66.13,30/01/2024,23:51:09
353,1071,1065,82.32,29/10/2023,14:56:40
354,1083,1085,42.82,12/07/2023,15:58:46
355,1023,1014,69.55,22/03/2023,08:26:46
356,1044,1076,36.8,20/02/2023,22:35:32
357,1016,1063,30.63,14/10/2023,21:39:06
358,1022,1089,42.32,21/10/2023,21:48:10
359,1008,1088,60.12,28/12/2023,15:07:12
360,1098,1041,97.03,07/02/2024,10:33:44
361,1015,1093,13.83,02/01/2024,19:14:24
362,1029,1039,78.15,07/10/2023,16:45:10
363,1100,1059,99.61,15/09/2023,09:05:50
364,1078,1020,87.35,08/12/2023,04:07:02
365,1075,1020,42.97,14/09/2023,03:15:43
366,1086,1024,36.69,29/03/2023,16:12:56
367,1050,1015,50.71,07/10/2023,10:58:48
368,1086,1093,48.7,05/12/2023,05:45:44
369,1079,1043,63.48,24/02/2023,18:50:20
370,1089,1077,68.73,06/10/2023,16:07:48
371,1064,1050,89.94,30/10/2023,15:20:31
372,1029,1020,48.37,11/01/2024,12:20:20
373,1018,1096,68.98,22/10/2023,09:23:18
374,1067,1042,65.63,05/04/2023,08:31:08
375,1068,1089,55.04,22/10/2023,07:41:11
376,1026,1095,90.83,01/11/2023,19:42:20
377,1010,1058,64.29,14/04/2023,20:02:33
378,1091,1098,98.89,11/10/2023,11:52:06
379,1071,1029,49.58,08/04/2023,15:01:50
380,1021,1091,80.43,23/06/2023,17:59:23
381,1012,1088,93.75,14/06/2023,17:29:22
382,1080,1079,91.68,24/04/2023,18:33:43
383,1024,1013,14.84,12/07/2023,06:10:29
384,1002,1008,20.39,09/11/2023,17:53:56
385,1028,1056,32.38,11/09/2023,07:56:32
386,1019,1010,37.75,27/09/2023,14:05:51
387,1089,1071,41.5,02/07/2023,20:36:56
388,1034,1015,94.75,04/04/2023,23:37:53
389,1039,1029,81.14,29/10/2023,21:20:37
390,1064,1068,20.56,28/08/2023,01:33:12
391,1100,1069,66.86,17/03/2023,19:20:40
392,1049,1031,36.61,05/04/2023,11:36:41
393,1072,1077,92.16,09/03/2023,07:05:08
394,1008,1064,43.86,14/07/2023,03:54:55
395,1022,1031,63.96,07/08/2023,09:38:31
396,1010,1094,80.49,07/08/2023,00:31:24
397,1040,1039,13.58,24/11/2023,14:00:20
398,1069,1027,19.61,14/06/2023,18:28:39
399,1007,1086,53.75,27/02/2023,23:45:04
400,1060,1012,12.08,23/09/2023,14:40:58
401,1091,1079,60.06,06/03/2023,21:37:23
402,1081,1003,75.44,31/03/2023,09:56:57
403,1015,1039,85.15,23/08/2023,20:00:55
404,1055,1033,77.39,22/09/2023,11:04:25
405,1002,1041,46.27,04/11/2023,08:17:18
406,1025,1054,94.89,19/12/2023,20:06:42
407,1018,1036,92.89,23/11/2023,20:17:45
408,1051,1021,97.72,31/08/2023,05:04:32
409,1062,1080,64.51,15/07/2023,07:23:00
410,1055,1006,10.77,24/09/2023,00:42:32
411,1019,1067,34.31,07/08/2023,19:20:53
412,1056,1075,45.19,08/04/2023,17:16:07
413,1055,1074,12.28,01/08/2023,05:57:26
414,1078,1017,21.46,01/08/2023,10:45:36
415,1079,1072,27.7,17/07/2023,19:55:10
416,1062,1002,62.5,13/06/2023,22:21:28
417,1023,1076,43.08,05/08/2023,12:07:39
418,1083,1065,89.41,27/04/2023,21:36:58
419,1024,1026,53.19,01/05/2023,06:19:37
420,1080,1035,80.41,31/03/2023,13:22:13
421,1031,1078,36.13,12/12/2023,08:07:36
422,1056,1017,39.57,06/11/2023,08:23:13
423,1016,1081,39,20/05/2023,22:08:50
424,1078,1012,99.53,14/06/2023,02:02:52
425,1065,1054,17.19,02/12/2023,15:41:41
426,1049,1084,53.76,13/08/2023,00:18:21
427,1044,1006,42.32,27/08/2023,22:36:09
428,1043,1007,63.79,28/11/2023,14:47:33
429,1011,1070,27.91,26/09/2023,11:54:03
430,1063,1038,92.48,21/05/2023,01:35:00
431,1015,1078,20.89,09/11/2023,10:21:58
432,1063,1001,91.8,09/12/2023,09:00:53
433,1029,1045,13.35,25/06/2023,10:04:56
434,1016,1001,78.13,03/10/2023,18:23:42
435,1016,1053,40.44,11/09/2023,05:44:32
436,1021,1037,20.77,23/10/2023,08:27:29
437,1080,1095,44.77,06/07/2023,05:48:10
438,1083,1058,35.16,02/04/2023,14:20:14
439,1058,1040,20,12/04/2023,15:02:51
440,1089,1071,42.5,22/11/2023,19:46:52
441,1026,1029,93.23,06/05/2023,14:35:43
442,1040,1068,23.72,31/05/2023,15:45:41
443,1011,1055,52.29,14/02/2024,10:12:38
444,1063,1007,93.82,09/04/2023,01:08:05
445,1073,1059,52.55,19/03/2023,03:38:57
446,1030,1061,56.37,06/09/2023,19:34:07
447,1033,1046,25.2,01/10/2023,12:50:26
448,1099,1073,73.43,27/04/2023,18:48:01
449,1030,1058,25.07,30/08/2023,06:48:53
450,1042,1027,82.7,20/12/2023,20:19:04
451,1014,1066,78.3,08/09/2023,04:36:20
452,1025,1069,49.17,28/04/2023,07:52:31
453,1040,1071,33.11,14/03/2023,01:01:20
454,1026,1069,88.11,12/09/2023,19:18:17
455,1046,1012,54.49,05/02/2024,02:54:24
456,1005,1071,92.01,10/08/2023,20:35:33
457,1058,1072,26.13,24/11/2023,03:17:24
458,1007,1033,78.29,06/10/2023,17:06:24
459,1060,1093,75.49,04/06/2023,15:24:50
460,1036,1086,58.52,14/05/2023,02:46:30
461,1082,1035,88.82,12/12/2023,18:26:07
462,1014,1076,65.44,19/03/2023,12:53:51
463,1023,1058,79.92,12/10/2023,17:30:18
464,1037,1033,47.16,24/11/2023,03:03:16
465,1018,1056,35.81,09/08/2023,11:32:00
466,1065,1049,78.14,16/07/2023,03:44:50
467,1099,1083,99.32,30/09/2023,00:21:44
468,1012,1037,42.72,20/10/2023,01:17:24
469,1073,1044,36.1,09/03/2023,12:38:08
470,1056,1079,89.23,14/11/2023,14:50:54
471,1092,1082,35.1,14/12/2023,14:51:23
472,1016,1030,29.54,27/05/2023,06:17:36
473,1086,1075,83.3,12/09/2023,08:02:56
474,1042,1041,55.01,07/01/2024,03:00:26
475,1020,1050,98.73,28/08/2023,05:11:55
476,1034,1071,22.26,01/05/2023,10:17:59
477,1013,1034,62.96,13/11/2023,14:24:38
478,1080,1095,47.74,06/12/2023,00:38:39
479,1041,1015,94.37,27/05/2023,05:44:31
480,1004,1080,98.18,13/07/2023,05:02:48
481,1094,1053,26.16,18/09/2023,09:07:51
482,1074,1068,64.7,30/05/2023,13:58:28
483,1051,1028,74.58,25/04/2023,13:59:46
484,1031,1002,87.05,24/06/2023,23:43:27
485,1069,1041,15.06,29/10/2023,06:02:01
486,1038,1057,92.48,26/10/2023,20:39:01
487,1028,1002,11.91,30/03/2023,15:40:08
488,1013,1010,93.24,17/03/2023,14:56:22
489,1094,1069,38.02,29/11/2023,18:16:38
490,1020,1074,81.07,19/01/2024,04:42:06
491,1073,1064,66.42,31/10/2023,22:14:39
492,1085,1052,84.31,23/01/2024,22:00:45
493,1095,1018,95.26,06/11/2023,06:21:39
494,1096,1077,39.95,09/06/2023,19:51:40
495,1095,1097,31.01,11/05/2023,13:52:08
496,1025,1095,85.19,03/10/2023,20:20:15
497,1095,1008,93.66,19/02/2023,05:56:06
498,1037,1098,49.41,07/04/2023,00:56:33
499,1038,1027,40.02,26/02/2023,04:54:04
500,1082,1025,83.13,31/05/2023,02:05:00
501,1081,1093,16.39,24/01/2024,21:14:55
502,1049,1015,85.91,02/05/2023,01:37:56
503,1088,1037,41.73,18/09/2023,02:58:09
504,1034,1071,70.28,16/04/2023,18:59:42
505,1011,1097,71.31,08/02/2024,03:03:55
506,1092,1070,33.93,21/07/2023,17:58:37
507,1045,1095,29.22,20/10/2023,17:24:53
508,1095,1079,38.41,24/07/2023,23:05:26
509,1024,1014,56,27/06/2023,13:39:06
510,1004,1057,68.28,27/02/2023,16:48:21
511,1085,1077,19.85,16/03/2023,02:23:44
512,1072,1013,95.79,01/04/2023,06:13:34
513,1074,1002,11.29,19/04/2023,07:51:27
514,1099,1095,56.85,17/02/2023,03:52:39
515,1077,1059,34.63,23/05/2023,07:45:16
516,1009,1076,51.05,15/02/2023,13:23:14
517,1090,1011,35.58,24/08/2023,21:56:43
518,1041,1084,44.58,31/01/2024,10:23:36
519,1061,1039,77.19,15/03/2023,18:07:51
520,1064,1038,13.08,07/07/2023,17:41:57
521,1068,1070,37.7,13/09/2023,09:41:31
522,1065,1086,84.04,17/12/2023,19:09:28
523,1074,1025,53.3,18/04/2023,00:19:14
524,1047,1075,40.18,25/04/2023,22:20:26
525,1076,1027,60.22,16/03/2023,15:38:56
526,1081,1083,14.81,25/02/2023,19:11:47
527,1061,1073,36.96,03/09/2023,18:38:23
528,1099,1025,81.23,16/05/2023,00:09:18
529,1085,1006,79.92,31/03/2023,08:04:25
530,1045,1046,50.03,27/03/2023,02:03:14
531,1062,1042,99.73,22/09/2023,02:47:55
532,1033,1064,44.33,01/01/2024,02:40:50
533,1046,1069,88.23,08/08/2023,09:30:24
534,1038,1019,60.31,12/11/2023,05:30:11
535,1080,1078,43.94,26/03/2023,23:58:18
536,1002,1046,49.91,09/11/2023,05:42:39
537,1085,1021,96.26,16/07/2023,15:57:07
538,1020,1013,51.22,24/06/2023,14:07:20
539,1054,1018,16.78,09/02/2024,22:09:19
540,1071,1034,11.42,05/01/2024,04:01:11
541,1017,1053,59.56,04/10/2023,02:19:56
542,1035,1001,27.57,12/01/2024,18:50:43
543,1018,1055,48.98,26/05/2023,05:26:21
544,1059,1060,92.9,28/03/2023,14:01:30
545,1035,1042,55.12,28/03/2023,14:46:07
546,1059,1080,77.58,02/10/2023,03:09:42
547,1034,1071,31.31,18/12/2023,07:57:56
548,1097,1043,53.41,24/08/2023,14:38:15
549,1052,1044,94.08,07/08/2023,23:33:18
550,1027,1047,46.79,17/12/2023,09:51:50
551,1021,1069,18.82,21/02/2023,01:57:04
552,1017,1036,61.55,18/10/2023,09:36:03
553,1046,1016,15.85,15/06/2023,07:39:06
554,1060,1084,59.64,24/01/2024,05:27:35
555,1031,1036,72.34,04/10/2023,18:12:11
556,1002,1062,71.88,03/09/2023,02:20:27
557,1036,1050,72.85,28/03/2023,17:30:30
558,1049,1034,10.45,01/03/2023,05:26:35
